epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.5225,2.22621,7.65681,1.82246,0.00159,0.37236,0.0134,0.0063,1.63671,6.72905,1.33253,0.00124723,0.000415745,0.00124723,0.000415745,0.00124723,0.000415745,0.00124723,0.000415745
2,47.847,1.72628,5.60159,1.34998,0.70637,0.60138,0.66368,0.3158,1.56367,4.98749,1.28185,0.00249662,0.000832208,0.00249662,0.000832208,0.00249662,0.000832208,0.00249662,0.000832208
3,68.5918,1.61599,4.12601,1.27662,0.8209,0.82844,0.85943,0.44918,1.48136,4.32861,1.19765,0.00374357,0.00124786,0.00374357,0.00124786,0.00374357,0.00124786,0.00374357,0.00124786
4,89.1349,1.57331,3.47094,1.2436,0.83413,0.84115,0.88299,0.48356,1.46619,3.54387,1.21256,0.00374176,0.00124725,0.00374176,0.00124725,0.00374176,0.00124725,0.00374176,0.00124725
5,109.652,1.48823,2.71235,1.2054,0.89675,0.91429,0.92032,0.52817,1.43932,2.35612,1.15711,0.00373536,0.00124512,0.00373536,0.00124512,0.00373536,0.00124512,0.00373536,0.00124512
6,130.271,1.45232,2.58829,1.1552,0.90268,0.90491,0.93054,0.55785,1.40151,1.42337,1.15532,0.00372715,0.00124238,0.00372715,0.00124238,0.00372715,0.00124238,0.00372715,0.00124238
7,150.679,1.40561,2.20245,1.15027,0.91006,0.91841,0.93933,0.54625,1.42954,1.10206,1.17035,0.00371712,0.00123904,0.00371712,0.00123904,0.00371712,0.00123904,0.00371712,0.00123904
8,171.153,1.39759,2.22945,1.147,0.92528,0.90733,0.94797,0.55806,1.38932,0.93981,1.16241,0.0037053,0.0012351,0.0037053,0.0012351,0.0037053,0.0012351,0.0037053,0.0012351
9,191.568,1.36578,1.93631,1.1379,0.9321,0.92468,0.94123,0.56725,1.38384,0.87304,1.13195,0.00369168,0.00123056,0.00369168,0.00123056,0.00369168,0.00123056,0.00369168,0.00123056
10,211.946,1.34632,1.75102,1.13451,0.93396,0.93931,0.9451,0.56554,1.37423,0.85593,1.15065,0.0036763,0.00122543,0.0036763,0.00122543,0.0036763,0.00122543,0.0036763,0.00122543
11,232.258,1.34514,1.61068,1.12232,0.95157,0.93188,0.9561,0.5695,1.41431,0.88273,1.16337,0.00365915,0.00121972,0.00365915,0.00121972,0.00365915,0.00121972,0.00365915,0.00121972
12,252.682,1.30857,1.52194,1.10598,0.91512,0.95738,0.9427,0.59425,1.3433,0.84899,1.12776,0.00364026,0.00121342,0.00364026,0.00121342,0.00364026,0.00121342,0.00364026,0.00121342
13,273.06,1.30536,1.43459,1.10097,0.8984,0.94797,0.91942,0.57586,1.34027,0.82119,1.11846,0.00361965,0.00120655,0.00361965,0.00120655,0.00361965,0.00120655,0.00361965,0.00120655
