epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.09,2.01171,3.67891,1.50918,0.59233,0.69886,0.71197,0.30419,1.84171,3.19924,1.38909,0.000414624,0.000414624,0.000414624
2,1318.02,1.73452,2.12038,1.3415,0.60735,0.71644,0.76768,0.39167,1.67624,2.69918,1.32518,0.000814831,0.000814831,0.000814831
3,1960.43,1.66323,1.6528,1.31883,0.73225,0.81769,0.77694,0.4098,1.59701,1.68202,1.2948,0.00119854,0.00119854,0.00119854
4,2580.01,1.59365,1.39498,1.26774,0.67541,0.79305,0.85317,0.45049,1.56873,1.62407,1.2879,0.00117575,0.00117575,0.00117575
5,3184.18,1.56949,1.25753,1.26775,0.7644,0.85737,0.86397,0.46019,1.57493,1.31364,1.28871,0.001151,0.001151,0.001151
6,3785.96,1.5683,1.16374,1.26033,0.79662,0.86689,0.85996,0.47747,1.51951,1.11392,1.25005,0.00112625,0.00112625,0.00112625
7,4386.13,1.53004,1.11463,1.24291,0.81778,0.82285,0.83279,0.44973,1.46665,1.04478,1.25242,0.0011015,0.0011015,0.0011015
8,4989.71,1.49993,1.05081,1.22427,0.85935,0.81562,0.88022,0.51047,1.47776,1.01201,1.24616,0.00107675,0.00107675,0.00107675
9,5588.12,1.46399,1.0215,1.18896,0.87339,0.82687,0.8681,0.49499,1.49359,0.98928,1.2409,0.001052,0.001052,0.001052
10,6190.6,1.46677,0.97582,1.19857,0.8313,0.85942,0.90151,0.53022,1.42195,0.90406,1.22788,0.00102725,0.00102725,0.00102725
11,6800.72,1.43133,0.94889,1.18017,0.8546,0.86468,0.88705,0.5167,1.4593,0.91809,1.24065,0.0010025,0.0010025,0.0010025
12,7410,1.44511,0.94423,1.20047,0.7842,0.87966,0.84695,0.49211,1.46361,0.86624,1.22395,0.00097775,0.00097775,0.00097775
13,8019.81,1.41457,0.91363,1.18947,0.87081,0.87015,0.90314,0.52039,1.5084,0.8234,1.25179,0.000953,0.000953,0.000953
14,8638.54,1.40257,0.89636,1.16994,0.85237,0.86412,0.89617,0.54452,1.44367,0.79328,1.21007,0.00092825,0.00092825,0.00092825
15,9249.5,1.38719,0.86729,1.17001,0.88936,0.89536,0.9035,0.55224,1.39261,0.78947,1.2057,0.0009035,0.0009035,0.0009035
16,9843.76,1.36574,0.85566,1.15722,0.88366,0.87861,0.92054,0.54708,1.48365,0.79531,1.22265,0.00087875,0.00087875,0.00087875
17,10437.9,1.36922,0.84784,1.14362,0.87243,0.87965,0.91331,0.55605,1.43988,0.81073,1.20815,0.000854,0.000854,0.000854
18,11026.4,1.34528,0.80947,1.13657,0.8169,0.90769,0.91418,0.56219,1.44911,0.84536,1.2091,0.00082925,0.00082925,0.00082925
19,11616.2,1.36722,0.8181,1.15307,0.85,0.89823,0.91224,0.5731,1.42081,0.73272,1.22318,0.0008045,0.0008045,0.0008045
20,12206,1.3339,0.80136,1.14595,0.89669,0.88519,0.91219,0.55617,1.45126,0.75015,1.22794,0.00077975,0.00077975,0.00077975
21,12788.4,1.3004,0.79105,1.13309,0.83985,0.91993,0.91947,0.55351,1.45609,0.7394,1.22338,0.000755,0.000755,0.000755
22,13371.7,1.32595,0.78348,1.12719,0.88478,0.89785,0.91205,0.57089,1.37837,0.75317,1.20381,0.00073025,0.00073025,0.00073025
23,13959.7,1.31449,0.7711,1.13916,0.87896,0.89341,0.91812,0.56233,1.44276,0.69507,1.22445,0.0007055,0.0007055,0.0007055
24,14551.8,1.29893,0.76415,1.12095,0.85852,0.90723,0.91836,0.58272,1.37675,0.70037,1.18301,0.00068075,0.00068075,0.00068075
25,15168,1.29606,0.74771,1.1225,0.86628,0.90067,0.92609,0.58995,1.3665,0.70162,1.17617,0.000656,0.000656,0.000656
26,15835.2,1.2712,0.74438,1.1089,0.84878,0.88138,0.90915,0.57295,1.38624,0.70405,1.1869,0.00063125,0.00063125,0.00063125
27,16468.4,1.26159,0.73212,1.11243,0.86316,0.91592,0.92198,0.57691,1.41227,0.77478,1.19903,0.0006065,0.0006065,0.0006065
