epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,645.059,2.21447,5.22525,1.66034,0.60614,0.76399,0.77023,0.34096,1.91259,4.05584,1.49178,0.000414624,0.000414624,0.000414624
2,1331.59,1.84065,2.7656,1.40885,0.80238,0.78472,0.85377,0.42827,1.71785,2.74094,1.33798,0.000748993,0.000748993,0.000748993
3,2037.95,1.72672,1.99187,1.37537,0.86393,0.78812,0.8585,0.42865,1.70749,1.87197,1.32865,0.00100086,0.00100086,0.00100086
4,2732.82,1.67454,1.58609,1.33297,0.82676,0.79427,0.8884,0.45303,1.73642,1.55311,1.35752,0.00087875,0.00087875,0.00087875
5,3434.21,1.60605,1.34965,1.29688,0.77823,0.88737,0.89263,0.45478,1.62401,1.38093,1.28495,0.000755,0.000755,0.000755
6,4152.18,1.53666,1.18514,1.26671,0.92853,0.8548,0.92336,0.51147,1.55432,1.1007,1.263,0.00063125,0.00063125,0.00063125
7,4853.92,1.49401,1.07039,1.23385,0.93824,0.8875,0.93686,0.52436,1.54586,1.00687,1.236,0.0005075,0.0005075,0.0005075
8,5563.96,1.46733,1.01487,1.22644,0.92705,0.91677,0.93965,0.53237,1.52339,0.99879,1.22096,0.00038375,0.00038375,0.00038375
9,6330.04,1.38659,0.93831,1.16258,0.956,0.91324,0.94598,0.5626,1.50214,0.91568,1.19598,0.00026,0.00026,0.00026
10,7053.89,1.33784,0.89482,1.14208,0.967,0.9255,0.9461,0.56595,1.4972,0.89118,1.20125,0.00013625,0.00013625,0.00013625
