epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,667.953,1.33427,0.80836,1.19189,0.85305,0.88933,0.90843,0.5786,1.40516,0.72319,1.24065,0.000915875,0.000915875,0.000915875
29,675.988,1.2997,0.8503,1.79042,0.84698,0.84844,0.89593,0.5354,1.53863,0.74251,1.35742,0.0009035,0.0009035,0.0009035
30,1363.59,1.38785,0.81828,1.24555,0.8744,0.86783,0.90923,0.55053,1.43584,0.68768,1.25555,0.000891125,0.000891125,0.000891125
31,2055.24,1.36893,0.78936,1.27298,0.85074,0.85929,0.89622,0.55132,1.43088,0.74571,1.23637,0.00087875,0.00087875,0.00087875
32,2779.87,1.32611,0.79065,1.21733,0.90178,0.87781,0.91223,0.55733,1.43872,0.68025,1.22768,0.000866375,0.000866375,0.000866375
33,3465.92,1.36381,0.7748,1.20021,0.86924,0.86673,0.91551,0.54208,1.47699,0.73818,1.24544,0.000854,0.000854,0.000854
34,4156.79,1.35113,0.77767,1.19603,0.87169,0.90721,0.90414,0.55834,1.40682,0.7068,1.20545,0.000841625,0.000841625,0.000841625
35,4847.76,1.33107,0.7547,1.18066,0.86537,0.88805,0.9143,0.56988,1.42235,0.68819,1.20475,0.00082925,0.00082925,0.00082925
36,5545.37,1.31055,0.7414,1.16203,0.86927,0.9006,0.91324,0.56468,1.44622,0.68344,1.2533,0.000816875,0.000816875,0.000816875
37,6248.75,1.30321,0.7403,1.15633,0.87336,0.8733,0.90692,0.56848,1.40959,0.68797,1.20441,0.0008045,0.0008045,0.0008045
38,7022.67,1.29013,0.73666,1.15719,0.88525,0.90215,0.91757,0.56901,1.37498,0.68371,1.2071,0.000792125,0.000792125,0.000792125
39,7767.71,1.2997,0.72971,1.14703,0.89177,0.90824,0.92513,0.57187,1.41105,0.65252,1.20831,0.00077975,0.00077975,0.00077975
40,8479.97,1.30092,0.72335,1.16366,0.89398,0.87738,0.92151,0.55961,1.402,0.66383,1.20479,0.000767375,0.000767375,0.000767375
41,9183.07,1.28168,0.72519,1.162,0.89827,0.86198,0.9213,0.57753,1.4096,0.6471,1.21376,0.000755,0.000755,0.000755
42,9875.63,1.26657,0.70958,1.13581,0.91053,0.89642,0.9285,0.56666,1.40489,0.63926,1.2006,0.000742625,0.000742625,0.000742625
43,10570.6,1.26406,0.69596,1.14686,0.89759,0.91125,0.92579,0.57889,1.38801,0.63444,1.19919,0.00073025,0.00073025,0.00073025
44,11263.4,1.26969,0.6928,1.15215,0.87905,0.88975,0.92347,0.56683,1.41376,0.64875,1.20614,0.000717875,0.000717875,0.000717875
45,11967.6,1.27375,0.70731,1.15008,0.90358,0.89742,0.92482,0.56312,1.42599,0.64299,1.22872,0.0007055,0.0007055,0.0007055
46,12681.5,1.26266,0.67941,1.13392,0.88727,0.90177,0.9384,0.57601,1.39369,0.6564,1.19938,0.000693125,0.000693125,0.000693125
47,13392.4,1.26882,0.68478,1.13641,0.89223,0.90723,0.93698,0.59236,1.40623,0.62248,1.20687,0.00068075,0.00068075,0.00068075
48,14102.1,1.24938,0.68467,1.14354,0.8726,0.89397,0.92201,0.57068,1.44659,0.63868,1.22469,0.000668375,0.000668375,0.000668375
49,14819.8,1.23225,0.67586,1.13857,0.87763,0.89416,0.92861,0.57332,1.4153,0.63513,1.2124,0.000656,0.000656,0.000656
50,15540.7,1.2449,0.67272,1.13277,0.89532,0.89349,0.92929,0.57427,1.39206,0.63312,1.20493,0.000643625,0.000643625,0.000643625
51,16230.6,1.22752,0.67006,1.13403,0.90304,0.89981,0.93318,0.58056,1.43481,0.62074,1.22272,0.00063125,0.00063125,0.00063125
52,16923.2,1.21414,0.66396,1.11788,0.88311,0.92059,0.938,0.57955,1.43193,0.63098,1.2224,0.000618875,0.000618875,0.000618875
53,17625.6,1.23798,0.66484,1.12877,0.89312,0.90139,0.93502,0.58264,1.40869,0.62485,1.20693,0.0006065,0.0006065,0.0006065
54,18331.6,1.21794,0.66373,1.11964,0.87993,0.92139,0.93444,0.58774,1.40115,0.61654,1.2039,0.000594125,0.000594125,0.000594125
55,19049.7,1.20795,0.65845,1.13484,0.89105,0.89993,0.93237,0.58611,1.42808,0.62726,1.23674,0.00058175,0.00058175,0.00058175
56,19769.9,1.2511,0.70121,1.15373,0.90289,0.87652,0.92559,0.58077,1.38724,0.6143,1.20413,0.000569375,0.000569375,0.000569375
57,20489.8,1.23605,0.66701,1.15112,0.87702,0.89664,0.91796,0.5882,1.36721,0.62348,1.2209,0.000557,0.000557,0.000557
58,21192,1.20702,0.65954,1.12916,0.88612,0.89893,0.92498,0.5878,1.38859,0.61321,1.20154,0.000544625,0.000544625,0.000544625
59,21892.9,1.23921,0.6642,1.13354,0.89301,0.88492,0.92893,0.59241,1.39605,0.62923,1.20204,0.00053225,0.00053225,0.00053225
60,22639.3,1.2156,0.65686,1.11238,0.89602,0.87047,0.92445,0.58948,1.38656,0.63726,1.19753,0.000519875,0.000519875,0.000519875
61,23367.2,1.22904,0.65394,1.12998,0.85382,0.92352,0.93479,0.59518,1.35662,0.60401,1.18982,0.0005075,0.0005075,0.0005075
62,24103.8,1.21275,0.65419,1.1214,0.88836,0.92247,0.93531,0.60658,1.35939,0.60374,1.1998,0.000495125,0.000495125,0.000495125
63,24855.5,1.20074,0.62589,1.12114,0.88498,0.89618,0.92583,0.59256,1.39154,0.61929,1.20477,0.00048275,0.00048275,0.00048275
64,25604.9,1.22282,0.64317,1.1195,0.89143,0.90183,0.93704,0.6011,1.39279,0.62331,1.20722,0.000470375,0.000470375,0.000470375
65,26359.4,1.20312,0.63731,1.10975,0.87216,0.90829,0.93138,0.58324,1.41,0.61603,1.21804,0.000458,0.000458,0.000458
66,27107.8,1.18424,0.62907,1.10149,0.9123,0.87928,0.92839,0.59366,1.38729,0.59996,1.21356,0.000445625,0.000445625,0.000445625
67,27856.4,1.1842,0.6257,1.10363,0.92497,0.89406,0.93786,0.60631,1.37266,0.59964,1.20549,0.00043325,0.00043325,0.00043325
68,28601.1,1.18305,0.62817,1.10752,0.89115,0.88451,0.93425,0.59104,1.37079,0.59269,1.193,0.000420875,0.000420875,0.000420875
69,29356.5,1.2025,0.64329,1.10094,0.88682,0.90499,0.93892,0.60273,1.36633,0.61299,1.1985,0.0004085,0.0004085,0.0004085
70,605.79,1.14832,0.60417,1.08444,0.89796,0.90023,0.9414,0.60468,1.39485,0.60938,1.20608,0.000396125,0.000396125,0.000396125
71,1243,1.15467,0.62107,1.09007,0.90812,0.89342,0.94156,0.61258,1.3499,0.57881,1.19389,0.00038375,0.00038375,0.00038375
72,1880.99,1.15417,0.59844,1.08297,0.88253,0.90813,0.94046,0.60779,1.38248,0.58949,1.20226,0.000371375,0.000371375,0.000371375
73,625.293,1.04947,0.56079,1.04614,0.9112,0.89897,0.9378,0.60387,1.41365,0.60389,1.21847,0.000359,0.000359,0.000359
74,1247.92,1.05592,0.57348,1.04968,0.89422,0.92156,0.94267,0.6081,1.35978,0.57184,1.20811,0.000346625,0.000346625,0.000346625
75,1872.18,1.06951,0.55834,1.04969,0.89577,0.90741,0.94217,0.60481,1.40542,0.59221,1.22176,0.00033425,0.00033425,0.00033425
76,2493.68,1.1155,0.59662,1.07692,0.87864,0.92495,0.93722,0.60926,1.37916,0.5899,1.21396,0.000321875,0.000321875,0.000321875
77,3116.08,1.14639,0.59296,1.08651,0.88569,0.91401,0.94149,0.60381,1.41485,0.59537,1.23046,0.0003095,0.0003095,0.0003095
78,3740.77,1.15378,0.60791,1.09611,0.92011,0.89199,0.93305,0.60002,1.38455,0.58927,1.20562,0.000297125,0.000297125,0.000297125
79,4364.88,1.14168,0.59025,1.08254,0.85519,0.92085,0.93126,0.59362,1.36449,0.59034,1.20247,0.00028475,0.00028475,0.00028475
80,4990.65,1.11651,0.5937,1.07375,0.90189,0.90492,0.93813,0.60643,1.37348,0.57712,1.20462,0.000272375,0.000272375,0.000272375
