epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78796,2.2142,4.26333,1.58006,0.74381,0.54712,0.75348,0.35137,1.89118,2.16457,1.43192,0.000414624,0.000414624,0.000414624
2,16.1283,1.83196,2.26969,1.34643,0.74072,0.76011,0.77655,0.39128,1.71704,1.30845,1.37357,0.000823061,0.000823061,0.000823061
3,23.3389,1.74691,1.7349,1.31979,0.85681,0.74597,0.85031,0.4252,1.69137,1.19181,1.34159,0.00122325,0.00122325,0.00122325
4,30.4809,1.72723,1.51641,1.31175,0.81423,0.7565,0.86221,0.42517,1.65496,1.26837,1.30666,0.00121287,0.00121287,0.00121287
5,37.5445,1.7038,1.34776,1.2824,0.8225,0.8551,0.87505,0.43742,1.69607,1.1493,1.33201,0.0012005,0.0012005,0.0012005
6,44.6656,1.67732,1.21714,1.27989,0.81414,0.85888,0.83657,0.47079,1.6442,1.03178,1.32415,0.00118812,0.00118812,0.00118812
7,51.7607,1.61441,1.15864,1.24747,0.8133,0.86927,0.88951,0.47929,1.62114,0.9979,1.25878,0.00117575,0.00117575,0.00117575
8,59.0213,1.62934,1.12561,1.25441,0.84066,0.86114,0.87894,0.47123,1.60693,1.07186,1.26895,0.00116337,0.00116337,0.00116337
9,66.1146,1.58703,1.05757,1.23922,0.89158,0.88907,0.90509,0.50745,1.56984,0.92251,1.27166,0.001151,0.001151,0.001151
10,73.1561,1.55201,1.05628,1.20155,0.88846,0.86096,0.91472,0.51793,1.62665,0.9278,1.27726,0.00113863,0.00113863,0.00113863
11,80.2309,1.53687,1.01172,1.20934,0.85339,0.91646,0.92044,0.52719,1.57762,0.91074,1.25725,0.00112625,0.00112625,0.00112625
12,87.3568,1.54505,1.00937,1.21146,0.88752,0.92784,0.92374,0.53648,1.5879,0.86204,1.25019,0.00111388,0.00111388,0.00111388
13,94.5366,1.5083,0.97908,1.19026,0.84709,0.91981,0.90409,0.51946,1.62141,0.88886,1.27962,0.0011015,0.0011015,0.0011015
14,107.54,1.50362,0.9436,1.18782,0.89628,0.87693,0.91348,0.50342,1.60021,0.89661,1.26448,0.00108913,0.00108913,0.00108913
15,120.966,1.49355,0.93672,1.18991,0.88817,0.90906,0.93411,0.5517,1.561,0.83931,1.23328,0.00107675,0.00107675,0.00107675
16,134.209,1.48693,0.92502,1.17388,0.92451,0.91568,0.92631,0.5337,1.61027,0.79896,1.26644,0.00106437,0.00106437,0.00106437
17,147.51,1.49777,0.90545,1.17644,0.90516,0.93334,0.93556,0.57573,1.50412,0.77913,1.22035,0.001052,0.001052,0.001052
18,161.052,1.44111,0.87726,1.14998,0.93022,0.92616,0.93987,0.5771,1.5339,0.78617,1.22816,0.00103962,0.00103962,0.00103962
19,174.902,1.4376,0.8725,1.16207,0.91638,0.92639,0.92674,0.54715,1.50924,0.78138,1.2535,0.00102725,0.00102725,0.00102725
20,188.786,1.42331,0.88896,1.14513,0.92134,0.91832,0.94284,0.56041,1.55466,0.78973,1.25132,0.00101488,0.00101488,0.00101488
